country,year,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,code,country_population_2018,country_population_2018_level,lat,lon,count,relative_1M_count
algeria,2017,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,104,2.4627966737562845
algeria,2018,Africa,Northern Africa,Developing economies,15266.0,631867579050.0,0.759,-0.811671,DZA,42228415.0,5-50M,28.0,3.0,112,2.6522425717375375
andorra,2010,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,1,12.985663827134843
andorra,2011,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,4,51.94265530853937
andorra,2012,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,4,51.94265530853937
andorra,2013,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,12,155.82796592561812
andorra,2014,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,14,181.7992935798878
andorra,2015,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,39,506.4408892582589
andorra,2016,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,23,298.6702680241014
andorra,2017,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,10,129.85663827134843
andorra,2018,Europe,Southern Europe,Developed economies,42030.0,3236543909.0,0.857,,AND,77008.0,<100k,42.3,1.3,1,12.985663827134843
angola,2011,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,5,0.16228609435047375
angola,2012,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,4,0.12982887548037902
angola,2013,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,6,0.1947433132205685
angola,2014,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,4,0.12982887548037902
angola,2016,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,2,0.06491443774018951
angola,2017,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,27,0.8763449094925583
angola,2018,Africa,Middle Africa,Developing economies,6651.0,198298815204.0,0.574,-1.3177,AGO,30809787.0,5-50M,-12.3,18.3,18,0.5842299396617056
antigua and barbuda,2013,Americas,Caribbean,Developing economies,25146.0,2399538417.0,0.7759999999999999,,ATG,96282.0,<100k,17.03,-61.48,7,72.70310130657859
antigua and barbuda,2015,Americas,Caribbean,Developing economies,25146.0,2399538417.0,0.7759999999999999,,ATG,96282.0,<100k,17.03,-61.48,6,62.31694397706737
antigua and barbuda,2017,Americas,Caribbean,Developing economies,25146.0,2399538417.0,0.7759999999999999,,ATG,96282.0,<100k,17.03,-61.48,2,20.772314659022456
argentina,2007,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,4,0.09016898795455032
argentina,2008,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,116,2.6149006506819594
argentina,2009,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,412,9.287405759318682
argentina,2010,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,884,19.927346337955623
argentina,2011,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,1353,30.499660175626648
argentina,2012,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,2757,62.14897494767381
argentina,2013,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,3910,88.14018572557293
argentina,2014,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,4117,92.80643085222091
argentina,2015,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,3544,79.88972332773159
argentina,2016,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,4182,94.27167690648236
argentina,2017,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,3853,86.8552776472206
argentina,2018,Americas,South America,Developing economies,20843.0,918032825601.0,0.83,0.232335,ARG,44361150.0,5-50M,-34.0,-64.0,3912,88.18527021955022
armenia,2009,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,18,6.098096005035672
armenia,2010,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,39,13.212541344243956
armenia,2011,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,53,17.955504903716147
armenia,2012,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,61,20.66576979484311
armenia,2013,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,48,16.26158934676179
armenia,2014,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,126,42.68667203524971
armenia,2015,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,162,54.88286404532105
armenia,2016,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,222,75.20985072877329
armenia,2017,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,212,71.82201961486459
armenia,2018,Asia,Western Asia,Transition economies,9621.0,28331472880.0,0.76,,ARM,2951741.0,1-5M,40.0,45.0,167,56.5767796022754
aruba,2011,Americas,Caribbean,Developing economies,39455.0,4157176527.0,0.934,1.30343,ABW,105846.0,100k-1M,12.3,-69.58,1,9.44768815070952
aruba,2015,Americas,Caribbean,Developing economies,39455.0,4157176527.0,0.934,1.30343,ABW,105846.0,100k-1M,12.3,-69.58,6,56.68612890425713
aruba,2016,Americas,Caribbean,Developing economies,39455.0,4157176527.0,0.934,1.30343,ABW,105846.0,100k-1M,12.3,-69.58,2,18.89537630141904
aruba,2017,Americas,Caribbean,Developing economies,39455.0,4157176527.0,0.934,1.30343,ABW,105846.0,100k-1M,12.3,-69.58,2,18.89537630141904
aruba,2018,Americas,Caribbean,Developing economies,39455.0,4157176527.0,0.934,1.30343,ABW,105846.0,100k-1M,12.3,-69.58,4,37.79075260283808
australia,2004,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,18,0.7229451919586164
australia,2005,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,66,2.6507990371815935
australia,2006,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,152,6.10487050987276
australia,2007,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,221,8.87616041238079
australia,2008,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,533,21.40721040633014
australia,2009,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,1460,58.63888779219889
australia,2010,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,2523,101.33281773953273
australia,2011,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,3394,136.31533230597466
australia,2012,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,6394,256.8061976324107
australia,2013,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,8785,352.83741729758026
australia,2014,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,8936,358.90212418567756
australia,2015,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,8412,337.85638637532674
australia,2016,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,9305,373.7225006208292
australia,2017,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,10378,416.81806678591784
australia,2018,Oceania,Oceania,Developed economies,49654.0,1221573766769.0,0.938,0.08630349999999999,AUS,24898153.0,5-50M,-27.0,133.0,13239,531.7261886855623
austria,2007,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,1,0.11246844276081686
austria,2008,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,24,2.6992426262596045
austria,2009,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,74,8.322664764300447
austria,2010,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,282,31.71610085855035
austria,2011,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,536,60.283085319797834
austria,2012,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,659,74.1167037793783
austria,2013,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,1118,125.73971900659323
austria,2014,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,1189,133.72497844261125
austria,2015,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,1400,157.45581986514358
austria,2016,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,1766,198.61926991560256
austria,2017,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,2192,246.53082653171055
austria,2018,Europe,Western Europe,Developed economies,53879.0,474006678909.0,0.914,1.62894,AUT,8891383.0,5-50M,47.2,13.2,2670,300.290742171381
azerbaijan,2009,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,1,0.10050718943002071
azerbaijan,2010,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,3,0.30152156829006216
azerbaijan,2011,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,13,1.3065934625902693
azerbaijan,2012,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,61,6.130938555231263
azerbaijan,2013,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,100,10.050718943002071
azerbaijan,2014,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,100,10.050718943002071
azerbaijan,2015,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,131,13.166441815332714
azerbaijan,2016,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,113,11.35731240559234
azerbaijan,2017,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,135,13.568470573052796
azerbaijan,2018,Asia,Western Asia,Transition economies,17525.0,172694683819.0,0.754,-0.654587,AZE,9949537.0,5-50M,40.3,47.3,139,13.97049933077288
bahrain,2008,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,8,5.097359567743909
bahrain,2009,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,13,8.283209297583852
bahrain,2010,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,19,12.106228973391783
bahrain,2011,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,13,8.283209297583852
bahrain,2012,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,78,49.69925578550311
bahrain,2013,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,75,47.78774594759914
bahrain,2014,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,66,42.05321643388724
bahrain,2015,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,86,54.79661535324702
bahrain,2016,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,68,43.327556325823224
bahrain,2017,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,152,96.84983178713426
bahrain,2018,Asia,Western Asia,Developing economies,47660.0,71208283858.0,0.838,,BHR,1569440.0,1-5M,0.13,-176.28,229,145.91191762666938
bangladesh,2008,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,7,0.0433767665102957
bangladesh,2009,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,4,0.02478672372016897
bangladesh,2010,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,4,0.02478672372016897
bangladesh,2011,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,6,0.03718008558025345
bangladesh,2012,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,16,0.09914689488067588
bangladesh,2013,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,48,0.2974406846420276
bangladesh,2014,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,143,0.8861253729960407
bangladesh,2015,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,176,1.0906158436874347
bangladesh,2016,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,366,2.2679852203954605
bangladesh,2017,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,482,2.9868002082803606
bangladesh,2018,Asia,Southern Asia,Developing economies,3998.0,638430000421.0,0.614,-1.71442,BGD,161376713.0,100-500M,24.0,90.0,369,2.2865752631855876
barbados,2011,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,1,3.488696622941669
barbados,2012,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,2,6.977393245883338
barbados,2013,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,7,24.420876360591684
barbados,2014,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,2,6.977393245883338
barbados,2015,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,1,3.488696622941669
barbados,2016,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,6,20.932179737650014
barbados,2017,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,3,10.466089868825007
barbados,2018,Americas,Caribbean,Developing economies,18526.0,5302755008.0,0.813,,BRB,286640.0,100k-1M,13.1,-59.32,1,3.488696622941669
belarus,2008,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,15,1.586862471390192
belarus,2009,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,30,3.173724942780384
belarus,2010,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,78,8.251684851229
belarus,2011,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,113,11.954363951139447
belarus,2012,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,403,42.633705064683156
belarus,2013,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,725,76.69835278385928
belarus,2014,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,962,101.77077983182431
belarus,2015,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,937,99.12600904617399
belarus,2016,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,1229,130.01693182256975
belarus,2017,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,1483,156.887803004777
belarus,2018,Europe,Eastern Europe,Transition economies,18916.0,179668590897.0,0.8170000000000001,0.743075,BLR,9452615.0,5-50M,53.0,28.0,1318,139.43231581948487
belgium,2007,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,31,2.6998357454769044
belgium,2008,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,137,11.931532165494705
belgium,2009,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,223,19.4213990723016
belgium,2010,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,401,34.92368173987867
belgium,2011,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,802,69.84736347975733
belgium,2012,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,1576,137.25616564101938
belgium,2013,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,2140,186.37575791356693
belgium,2014,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,2978,259.3584145171039
belgium,2015,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,2887,251.43309023199427
belgium,2016,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,3955,344.44678623745665
belgium,2017,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,4266,371.53223516788626
belgium,2018,Europe,Western Europe,Developed economies,49412.0,562067818085.0,0.919,0.90581,BEL,11482180.0,5-50M,50.5,4.0,4574,398.3564096713342
belize,2011,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,1,2.6104821299445793
belize,2012,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,3,7.831446389833738
belize,2014,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,1,2.6104821299445793
belize,2015,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,3,7.831446389833738
belize,2016,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,5,13.052410649722898
belize,2017,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,5,13.052410649722898
belize,2018,Americas,Central America,Developing economies,8500.0,3194203642.0,0.72,,BLZ,383071.0,100k-1M,17.15,-88.45,2,5.220964259889159
benin,2012,Africa,Western Africa,Developing economies,2277.0,25441421706.0,0.52,,BEN,11485035.0,5-50M,9.3,2.15,1,0.08706982608237589
benin,2014,Africa,Western Africa,Developing economies,2277.0,25441421706.0,0.52,,BEN,11485035.0,5-50M,9.3,2.15,1,0.08706982608237589
benin,2017,Africa,Western Africa,Developing economies,2277.0,25441421706.0,0.52,,BEN,11485035.0,5-50M,9.3,2.15,2,0.17413965216475177
benin,2018,Africa,Western Africa,Developing economies,2277.0,25441421706.0,0.52,,BEN,11485035.0,5-50M,9.3,2.15,11,0.9577680869061348
bermuda,2008,Americas,Northern America,Developed economies,99400.0,6127000000.0,,,BMU,62763.0,<100k,32.2,-64.45,6,95.59772477415038
bermuda,2009,Americas,Northern America,Developed economies,99400.0,6127000000.0,,,BMU,62763.0,<100k,32.2,-64.45,3,47.79886238707519
bermuda,2010,Americas,Northern America,Developed economies,99400.0,6127000000.0,,,BMU,62763.0,<100k,32.2,-64.45,1,15.932954129025063
bermuda,2011,Americas,Northern America,Developed economies,99400.0,6127000000.0,,,BMU,62763.0,<100k,32.2,-64.45,6,95.59772477415038
bermuda,2012,Americas,Northern America,Developed economies,99400.0,6127000000.0,,,BMU,62763.0,<100k,32.2,-64.45,2,31.865908258050126
bermuda,2013,Americas,Northern America,Developed economies,99400.0,6127000000.0,,,BMU,62763.0,<100k,32.2,-64.45,4,63.73181651610025
